customer_id,age,income,employment_years,education_level,num_dependents,account_age_months,account_balance,credit_score,num_products,is_active_member,avg_monthly_transactions,total_transactions_12m,avg_transaction_amount,max_transaction_amount,num_large_transactions,num_international_trans,failed_transactions,avg_days_between_trans,transaction_frequency_change,spending_trend,num_complaints,num_service_calls,avg_call_duration_min,satisfaction_score,num_support_tickets,mobile_app_logins_per_month,web_logins_per_month,has_mobile_app,email_open_rate,sms_response_rate,avg_monthly_balance,min_balance_12m,overdraft_count,loan_amount,credit_utilization,churn
CUST_0001,56,56140.195998139876,14,2,0,84,-5000.0,802,1,1,13,162,231.73583304001835,564.111888301472,3,0,1,1.8289040969279302,0.1784039301430972,-0.11216804365871147,1,0,16.28634538257232,10,0,16,9,0,0.6723006386775275,0.16972672269187716,2663.7083031954753,1722.5904464252621,0,13246.680189796189,0.6944351071908832,0.0
CUST_0002,69,64729.48940361349,35,2,4,99,11227.112239002687,654,3,0,14,176,10.0,867.4508176108725,3,2,1,8.40674946549467,-0.20375641413864573,-0.07274771625398797,0,7,1.0,1,3,8,4,1,0.45357101942300493,0.27419446336829145,1459.8581986748784,1777.2310452764905,0,14061.23464288311,0.19424167339871135,0.3949085789954314
CUST_0003,46,48314.98405291552,14,1,4,111,11295.295842218107,524,1,0,15,165,194.45224995670287,487.859566577759,2,2,1,3.2251463371559836,-0.6513891896605006,-0.17898755244207318,1,0,9.352418880549566,7,0,16,13,0,0.7962843042233506,0.9668164258397841,0.0,-1000.0,0,6666.259126361108,0.12064421862730312,0.05079730014317571
CUST_0004,32,52403.972064250025,22,3,4,66,-3043.1575965999236,830,4,0,11,184,236.28798294650045,352.5157991816194,1,2,1,1.0,0.3905758285344052,0.2758623889559334,0,2,3.481805149845189,3,2,14,8,0,0.6397379973783744,0.8919352592396855,0.0,-764.152763725777,0,23576.150973056625,0.5207597753144768,0.14311996110984893
CUST_0005,60,76089.3505695086,5,1,3,30,13953.554307625996,445,2,0,21,165,22.82173978382569,1172.2698945435056,3,1,1,6.557101984759383,0.29698831641066,0.007976219420582,1,4,16.18135452292622,6,0,11,9,1,0.18959707949408933,0.2137544564637025,758.2471474440472,826.3360702408391,0,10882.554371801672,0.6652627361423423,0.21353850955711634
CUST_0006,25,28341.963044000786,20,4,0,53,-1315.777291653314,540,1,0,20,135,150.87725115897862,50.0,0,1,2,7.501854863624747,0.11217239563939363,-0.30463859848351915,0,2,3.3071087375412427,2,0,13,7,1,0.27717317277051345,0.11702677311844456,0.0,2577.0447082195146,0,2704.1710526492443,0.1656367379685364,0.4458207942856385
CUST_0007,38,37454.66393680999,22,1,0,34,7531.652380379812,643,3,1,17,198,45.727178565776356,1289.7742319990462,4,1,1,3.817164893889876,0.33326238146192444,0.12880964328433106,1,3,11.34458586264026,7,0,11,7,1,0.07924918644138546,0.3641526045144676,1325.3552028494196,-1000.0,0,174.37112120371603,0.6016930103827183,0.36743193661957557
CUST_0008,56,30822.22363497583,15,1,3,22,13203.44012612456,334,3,1,14,189,252.7510594800878,517.9997626569518,4,4,1,1.0776315353266188,-0.030477348015783074,-0.06850454746340981,0,4,1.0,1,2,10,5,1,0.9457217549233222,0.5923364801000734,1591.9639277289857,-1000.0,0,0.0,0.8650286839296575,0.27682297988460947
CUST_0009,36,90918.86681373883,14,4,2,67,4663.87435296287,300,2,0,16,159,54.40019349235024,887.1290390883553,1,3,2,7.035492000887797,0.07955308598513441,0.23873181227121823,0,5,15.766390740220793,2,1,10,3,1,0.8865504812292666,0.8671446285811206,9371.952011047275,3241.602963170021,1,17200.404991059055,0.7275689280930444,0.32307737469580317
CUST_0010,40,37457.50057480425,24,2,1,6,9547.409121411343,452,1,0,20,180,70.7137893063353,139.81604621530232,3,2,1,10.974694644878197,-0.21109031071643838,-0.001622634044072287,1,2,12.598619266873666,9,0,9,8,1,0.08479622545093712,0.9660901250400777,0.0,2935.2881849717683,1,679.8594195360365,0.6641910808818076,0.3304495835043283
